"","GICS.Sector","Weighted_VR"
"1","Consumer Staples",76.5034626715067
"2","Health Care",72.1086411714139
"3","Communication Services",70.9673411411348
"4","Information Technology",69.3362062809397
"5","Consumer Discretionary",68.8258519484868
"6","Utilities",63.9314237412546
"7","Materials",63.2541053525696
"8","Real Estate",60.9488289088111
"9","Industrials",57.7840824420677
"10","Financials",57.1526906783178
"11","Energy",44.2936756920129
